MJD,g,gerr,r,rerr
59013.2,20.83,0.29,NaN,NaN
59013.3,NaN,NaN,20.75,0.3
59014.4,19.83,0.13,NaN,NaN
59014.5,NaN,NaN,20.06,0.2
59016.4,19.44,0.11,NaN,NaN
59017.3,19.46,0.11,NaN,NaN
59018.4,19.31,0.08,NaN,NaN
59019.3,19.32,0.11,NaN,NaN
59019.4,NaN,NaN,19.35,0.1
59020.4,19.34,0.1,NaN,NaN
59020.5,NaN,NaN,19.38,0.09
59022.3,NaN,NaN,19.31,0.1
59022.4,19.28,0.09,NaN,NaN
59023.4,NaN,NaN,19.31,0.1
59024.3,NaN,NaN,19.25,0.09
59024.4,19.26,0.1,NaN,NaN
59025.3,19.33,0.08,NaN,NaN
59025.4,NaN,NaN,19.32,0.1
59026.4,19.23,0.09,NaN,NaN
59027.4,19.37,0.11,19.22,0.1
59028.3,19.38,0.1,19.28,0.1
59029.3,19.35,0.16,NaN,NaN
59030.4,19.37,0.12,NaN,NaN
59031.3,19.36,0.13,NaN,NaN
59031.4,NaN,NaN,19.25,0.09
59032.3,NaN,NaN,19.27,0.15
59032.5,19.41,0.11,NaN,NaN
59033.4,NaN,NaN,19.35,0.13
59038.2,NaN,NaN,19.3,0.09
59038.4,NaN,NaN,19.2,0.11
59041.3,NaN,NaN,19.33,0.08
59044.4,19.78,0.13,NaN,NaN
59047.3,19.85,0.14,NaN,NaN
59047.4,NaN,NaN,19.4,0.1
59050.3,NaN,NaN,19.49,0.11
59053.3,NaN,NaN,19.46,0.11
59053.4,20.01,0.12,NaN,NaN
59056.4,NaN,NaN,19.51,0.12
59059.3,20.3,0.23,NaN,NaN
59060.4,20.29,0.28,NaN,NaN
59061.3,NaN,NaN,19.55,0.15
59062.3,NaN,NaN,19.46,0.14
59062.4,20.25,0.29,NaN,NaN
59063.3,NaN,NaN,19.54,0.13
59065.3,NaN,NaN,19.6,0.22
59066.3,20.13,0.3,NaN,NaN
59068.3,NaN,NaN,19.55,0.15
59071.4,NaN,NaN,19.55,0.14
59074.3,NaN,NaN,19.88,0.23
59077.3,NaN,NaN,19.76,0.19
59080.3,NaN,NaN,19.63,0.13
59092.2,NaN,NaN,19.73,0.2
59094.3,NaN,NaN,19.72,0.24
59096.3,NaN,NaN,19.85,0.21
59111.2,NaN,NaN,19.84,0.15
59114.3,NaN,NaN,19.76,0.15
59122.2,NaN,NaN,19.79,0.28
59129.2,NaN,NaN,19.99,0.24
59135.3,NaN,NaN,20.04,0.21
59145.1,NaN,NaN,20.12,0.16
