MJD,g,gerr,r,rerr
59029.2,20.11,0.3,NaN,NaN
59031.2,NaN,NaN,18.21,0.06
59033.2,17.51,0.05,NaN,NaN
59034.2,17.38,0.05,NaN,NaN
59034.3,NaN,NaN,17.65,0.04
59035.3,NaN,NaN,17.52,0.07
59036.2,17.36,0.04,NaN,NaN
59036.3,NaN,NaN,17.47,0.06
59037.2,17.36,0.05,17.47,0.06
59038.2,17.4,0.04,17.48,0.04
59039.2,17.43,0.05,17.51,0.04
59040.2,17.46,0.04,NaN,NaN
59041.2,17.42,0.05,17.51,0.05
59042.2,17.52,0.06,17.55,0.04
59043.2,17.55,0.05,17.55,0.05
59044.2,17.58,0.05,17.57,0.06
59045.2,17.62,0.05,17.59,0.05
59046.2,17.68,0.06,17.63,0.04
59047.2,NaN,NaN,17.67,0.05
59047.3,17.68,0.07,NaN,NaN
59048.2,NaN,NaN,17.7,0.05
59048.3,17.72,0.05,NaN,NaN
59049.2,17.78,0.07,17.71,0.04
59050.2,17.81,0.05,NaN,NaN
59050.3,NaN,NaN,17.7,0.06
59051.2,17.85,0.06,17.74,0.06
59052.2,NaN,NaN,17.75,0.05
59052.3,17.86,0.05,NaN,NaN
59053.2,17.93,0.06,NaN,NaN
59054.2,17.97,0.07,17.79,0.06
59055.2,NaN,NaN,17.83,0.06
59057.2,NaN,NaN,17.83,0.06
59062.2,18.16,0.07,17.92,0.06
59063.2,18.17,0.08,17.92,0.06
59064.3,NaN,NaN,17.96,0.07
59065.2,18.24,0.07,17.9,0.05
59067.2,18.33,0.06,17.97,0.06
59070.2,18.46,0.07,18.09,0.06
59093.1,NaN,NaN,18.29,0.08
59093.2,18.91,0.13,NaN,NaN
59094.2,18.87,0.22,18.3,0.07
