MJD,g,gerr,r,rerr
59038.5,18.95,0.15,NaN,NaN
59046.4,NaN,NaN,18.9,0.07
59049.4,NaN,NaN,18.98,0.08
59049.5,19.11,0.12,NaN,NaN
59052.5,19.2,0.1,NaN,NaN
59055.4,19.26,0.11,NaN,NaN
59055.5,NaN,NaN,19.16,0.08
59061.4,NaN,NaN,19.09,0.09
59062.4,19.51,0.21,NaN,NaN
59062.5,NaN,NaN,19.22,0.08
59064.4,NaN,NaN,19.26,0.16
59066.4,19.45,0.23,NaN,NaN
59073.4,20.02,0.2,NaN,NaN
59073.5,NaN,NaN,19.28,0.1
59076.4,19.98,0.19,19.24,0.1
59079.4,NaN,NaN,19.28,0.1
59080.5,20.1,0.25,NaN,NaN
59082.4,19.97,0.27,NaN,NaN
59082.5,NaN,NaN,19.18,0.14
59084.4,20.23,0.19,NaN,NaN
59085.4,20.18,0.19,NaN,NaN
59086.4,NaN,NaN,19.4,0.11
59086.5,20.25,0.2,NaN,NaN
59089.4,20.17,0.22,NaN,NaN
59099.3,NaN,NaN,19.56,0.21
59104.4,NaN,NaN,19.6,0.2
59107.3,NaN,NaN,19.84,0.22
59110.4,NaN,NaN,19.81,0.14
59113.3,NaN,NaN,19.93,0.13
59113.4,NaN,NaN,19.87,0.13
59114.4,NaN,NaN,20.06,0.13
59115.3,NaN,NaN,20.0,0.12
59115.4,NaN,NaN,20.01,0.14
59116.4,NaN,NaN,20.0,0.11
59117.4,NaN,NaN,20.35,0.18
59118.3,NaN,NaN,20.29,0.24
59119.4,NaN,NaN,20.14,0.21
