MJD,g,gerr,r,rerr
59065.4,NaN,NaN,19.57,0.28
59066.5,NaN,NaN,19.25,0.17
59073.4,18.83,0.08,NaN,NaN
59073.5,NaN,NaN,18.79,0.08
59075.4,18.86,0.09,NaN,NaN
59076.4,18.9,0.09,18.89,0.08
59077.4,18.97,0.09,NaN,NaN
59078.4,19.03,0.09,NaN,NaN
59079.4,NaN,NaN,18.9,0.08
59080.4,19.14,0.1,NaN,NaN
59081.4,NaN,NaN,18.96,0.09
59082.4,19.09,0.1,NaN,NaN
59082.5,NaN,NaN,18.91,0.11
59085.4,19.23,0.1,NaN,NaN
59085.5,NaN,NaN,18.97,0.1
59086.4,NaN,NaN,18.91,0.07
59088.4,NaN,NaN,18.98,0.09
59088.5,19.28,0.11,NaN,NaN
59089.4,19.35,0.14,NaN,NaN
59090.4,19.38,0.13,NaN,NaN
59091.4,19.44,0.17,NaN,NaN
59092.4,19.5,0.22,NaN,NaN
59099.3,NaN,NaN,18.95,0.14
59099.4,19.43,0.21,NaN,NaN
59104.4,NaN,NaN,19.17,0.17
59107.3,NaN,NaN,19.18,0.1
59107.4,20.01,0.25,NaN,NaN
59110.3,19.94,0.18,NaN,NaN
59110.4,NaN,NaN,19.19,0.1
59112.4,NaN,NaN,19.25,0.1
59113.3,NaN,NaN,19.15,0.09
59113.4,20.08,0.14,19.33,0.09
59115.3,NaN,NaN,19.23,0.09
59116.3,NaN,NaN,19.26,0.09
59116.4,NaN,NaN,19.29,0.08
59117.3,19.98,0.16,NaN,NaN
59118.3,NaN,NaN,19.31,0.13
59119.4,NaN,NaN,19.36,0.1
59126.3,NaN,NaN,19.08,0.12
59130.3,NaN,NaN,19.4,0.1
59134.3,NaN,NaN,19.35,0.09
59136.3,20.27,0.17,19.41,0.09
59138.2,20.17,0.26,NaN,NaN
59138.3,NaN,NaN,19.35,0.1
59140.2,NaN,NaN,19.49,0.1
59140.3,20.35,0.22,NaN,NaN
59144.2,NaN,NaN,19.45,0.1
59164.3,NaN,NaN,20.01,0.17
59167.2,NaN,NaN,20.34,0.21
