MJD,g,gerr,r,rerr
59088.3,18.04,0.07,NaN,NaN
59088.4,NaN,NaN,17.98,0.07
59089.3,18.02,0.07,NaN,NaN
59091.3,18.02,0.07,NaN,NaN
59092.3,18.04,0.08,NaN,NaN
59094.2,18.03,0.08,NaN,NaN
59094.3,NaN,NaN,17.92,0.09
59096.3,NaN,NaN,17.93,0.06
59097.3,18.1,0.07,17.96,0.05
59098.4,NaN,NaN,17.89,0.05
59099.3,NaN,NaN,17.89,0.06
59106.3,18.33,0.09,NaN,NaN
59109.2,18.52,0.08,17.97,0.06
59112.2,NaN,NaN,18.01,0.06
59112.3,18.62,0.08,NaN,NaN
59122.3,19.05,0.17,NaN,NaN
59123.2,19.0,0.16,NaN,NaN
59123.3,NaN,NaN,18.13,0.08
59124.3,NaN,NaN,18.17,0.09
59125.2,18.93,0.1,NaN,NaN
59125.3,NaN,NaN,18.17,0.06
59127.2,18.98,0.25,NaN,NaN
59127.3,NaN,NaN,18.1,0.18
59129.2,NaN,NaN,18.12,0.07
59129.3,19.04,0.13,NaN,NaN
59134.2,NaN,NaN,18.26,0.06
59136.1,19.18,0.09,NaN,NaN
59149.1,NaN,NaN,18.32,0.1
59151.1,19.34,0.17,18.26,0.08
59153.1,NaN,NaN,18.27,0.07
59153.2,19.23,0.14,NaN,NaN
59155.1,NaN,NaN,18.29,0.06
59164.1,NaN,NaN,18.29,0.07
59164.2,19.39,0.17,NaN,NaN
59167.1,NaN,NaN,18.3,0.06
59167.2,19.49,0.17,NaN,NaN
59169.1,19.45,0.14,NaN,NaN
59171.2,19.59,0.14,NaN,NaN
59173.1,19.57,0.13,18.4,0.09
59178.1,19.59,0.16,18.42,0.07
59182.2,NaN,NaN,18.54,0.12
59184.1,19.73,0.21,18.57,0.09
59186.1,NaN,NaN,18.63,0.12
59190.1,NaN,NaN,18.73,0.09
59195.1,NaN,NaN,19.05,0.28
59199.1,NaN,NaN,19.14,0.16
