MJD,g,gerr,r,rerr
59094.2,18.65,0.13,NaN,NaN
59095.1,NaN,NaN,18.75,0.1
59095.2,18.68,0.1,NaN,NaN
59096.2,18.44,0.08,18.57,0.08
59097.2,18.49,0.09,NaN,NaN
59098.2,NaN,NaN,18.45,0.07
59099.2,18.44,0.08,18.48,0.08
59124.1,18.94,0.16,NaN,NaN
59124.2,NaN,NaN,18.55,0.1
59128.1,NaN,NaN,18.47,0.08
59128.2,18.94,0.09,NaN,NaN
59130.2,18.96,0.12,NaN,NaN
59135.1,19.05,0.09,NaN,NaN
59135.2,NaN,NaN,18.53,0.09
59137.1,NaN,NaN,18.46,0.07
59137.2,19.03,0.11,NaN,NaN
59139.1,NaN,NaN,18.5,0.08
59139.2,18.99,0.1,NaN,NaN
59141.1,NaN,NaN,18.46,0.07
59141.2,18.93,0.2,NaN,NaN
59143.2,19.01,0.1,NaN,NaN
59145.1,19.04,0.12,18.5,0.07
59150.1,19.06,0.2,18.55,0.08
59152.1,18.92,0.13,NaN,NaN
59154.2,NaN,NaN,18.41,0.09
59157.1,NaN,NaN,18.46,0.08
59164.1,NaN,NaN,18.49,0.1
59224.5,NaN,NaN,19.88,0.21
59248.5,NaN,NaN,20.29,0.2
59250.5,NaN,NaN,20.47,0.28
59252.5,NaN,NaN,20.33,0.17
