MJD,g,gerr,r,rerr
59092.4,19.66,0.28,NaN,NaN
59099.4,18.58,0.13,NaN,NaN
59108.4,NaN,NaN,18.6,0.08
59111.4,18.88,0.08,18.64,0.06
59114.3,19.06,0.1,NaN,NaN
59114.4,NaN,NaN,18.74,0.07
59115.4,19.12,0.09,18.75,0.06
59116.3,19.17,0.12,NaN,NaN
59116.4,NaN,NaN,18.76,0.06
59117.3,19.22,0.11,NaN,NaN
59117.4,NaN,NaN,18.82,0.06
59118.3,NaN,NaN,18.78,0.08
59119.4,19.29,0.12,18.83,0.09
59120.3,19.39,0.18,NaN,NaN
59120.5,19.3,0.12,18.81,0.08
59121.4,19.38,0.19,NaN,NaN
59126.3,19.3,0.28,NaN,NaN
59126.4,NaN,NaN,19.25,0.18
59128.3,19.46,0.23,NaN,NaN
59128.4,NaN,NaN,18.67,0.1
59130.3,NaN,NaN,19.06,0.1
59134.3,19.87,0.18,19.07,0.11
59136.4,19.9,0.15,NaN,NaN
59138.2,20.06,0.23,NaN,NaN
59138.3,NaN,NaN,19.14,0.11
59140.3,NaN,NaN,19.22,0.11
59144.2,NaN,NaN,19.22,0.08
59144.3,20.04,0.17,NaN,NaN
59146.3,NaN,NaN,19.49,0.24
59153.3,NaN,NaN,19.4,0.23
59155.2,NaN,NaN,19.41,0.19
59156.3,NaN,NaN,19.51,0.16
59158.2,NaN,NaN,19.51,0.16
59164.3,NaN,NaN,19.74,0.2
59169.3,NaN,NaN,19.86,0.17
