MJD,g,gerr,r,rerr
59104.4,NaN,NaN,18.63,0.09
59106.5,18.63,0.11,NaN,NaN
59107.4,18.66,0.09,18.7,0.07
59110.3,18.89,0.15,NaN,NaN
59110.4,NaN,NaN,18.77,0.07
59110.5,NaN,NaN,18.71,0.06
59112.4,NaN,NaN,18.79,0.07
59113.4,19.02,0.1,18.86,0.08
59115.4,NaN,NaN,18.91,0.07
59116.4,NaN,NaN,18.96,0.07
59116.5,19.16,0.13,NaN,NaN
59118.3,NaN,NaN,18.9,0.07
59118.5,19.33,0.1,NaN,NaN
59120.3,19.41,0.16,NaN,NaN
59121.3,19.45,0.22,NaN,NaN
59122.3,19.21,0.2,NaN,NaN
59123.4,NaN,NaN,18.81,0.17
59124.4,NaN,NaN,18.9,0.16
59128.4,18.81,0.21,NaN,NaN
59130.4,19.55,0.14,19.08,0.11
59134.4,19.85,0.19,19.11,0.09
59136.3,NaN,NaN,19.24,0.09
59136.4,20.0,0.2,NaN,NaN
59138.4,20.08,0.19,19.35,0.09
59140.4,20.27,0.2,19.4,0.11
59142.4,20.43,0.19,19.57,0.12
59144.4,20.58,0.19,19.64,0.09
59150.3,NaN,NaN,20.0,0.24
59164.3,NaN,NaN,20.07,0.2
59166.3,NaN,NaN,20.25,0.13
59168.3,NaN,NaN,20.34,0.17
