MJD,g,gerr,r,rerr
59106.2,NaN,NaN,17.67,0.07
59106.3,17.42,0.06,NaN,NaN
59110.2,NaN,NaN,17.38,0.08
59110.3,17.3,0.06,17.46,0.06
59113.2,17.35,0.05,NaN,NaN
59113.3,NaN,NaN,17.34,0.05
59114.2,17.36,0.06,NaN,NaN
59116.2,17.41,0.05,NaN,NaN
59116.3,17.45,0.04,17.36,0.05
59117.3,17.42,0.05,NaN,NaN
59118.3,NaN,NaN,17.41,0.05
59119.2,17.46,0.05,NaN,NaN
59120.3,17.56,0.05,NaN,NaN
59121.4,17.62,0.07,NaN,NaN
59122.3,17.58,0.06,NaN,NaN
59123.2,17.59,0.05,NaN,NaN
59123.3,NaN,NaN,17.47,0.09
59124.3,NaN,NaN,17.52,0.08
59125.2,17.7,0.06,NaN,NaN
59125.3,NaN,NaN,17.5,0.05
59127.2,17.65,0.15,NaN,NaN
59129.2,NaN,NaN,17.58,0.05
59129.3,17.84,0.06,NaN,NaN
59134.2,18.01,0.06,NaN,NaN
59136.1,18.13,0.06,NaN,NaN
59136.2,18.07,0.06,17.65,0.06
59138.1,NaN,NaN,17.69,0.07
59138.2,18.15,0.19,NaN,NaN
59140.1,NaN,NaN,17.78,0.07
59140.2,18.2,0.06,NaN,NaN
59144.2,18.4,0.11,17.73,0.07
59146.1,NaN,NaN,17.77,0.09
59149.1,NaN,NaN,17.99,0.14
59151.1,NaN,NaN,17.81,0.07
59151.2,18.61,0.12,NaN,NaN
59153.1,NaN,NaN,17.92,0.06
59153.2,18.59,0.11,NaN,NaN
59155.1,NaN,NaN,17.87,0.07
59155.2,18.65,0.1,NaN,NaN
59158.1,NaN,NaN,17.99,0.08
59158.2,18.78,0.07,NaN,NaN
59164.1,NaN,NaN,17.98,0.07
59167.1,18.93,0.09,17.98,0.06
59169.1,18.92,0.13,NaN,NaN
59169.2,NaN,NaN,18.07,0.09
59171.1,NaN,NaN,18.1,0.07
59173.1,NaN,NaN,18.07,0.07
59173.2,19.02,0.14,NaN,NaN
59177.1,NaN,NaN,18.08,0.07
59179.1,NaN,NaN,18.17,0.08
59181.1,19.24,0.15,18.1,0.11
59182.1,19.12,0.17,NaN,NaN
59183.1,NaN,NaN,18.07,0.07
59184.1,19.2,0.16,NaN,NaN
59185.1,NaN,NaN,18.2,0.07
59187.1,19.17,0.11,NaN,NaN
59189.2,NaN,NaN,18.19,0.09
59194.1,19.49,0.15,18.26,0.08
59197.1,19.11,0.2,NaN,NaN
59199.1,NaN,NaN,18.38,0.09
59204.2,NaN,NaN,18.33,0.14
59211.1,NaN,NaN,18.46,0.16
