MJD,g,gerr,r,rerr
59104.4,NaN,NaN,19.34,0.24
59106.3,18.96,0.14,19.12,0.09
59107.4,18.84,0.08,NaN,NaN
59109.3,18.87,0.08,NaN,NaN
59109.4,NaN,NaN,18.96,0.12
59110.3,18.76,0.08,NaN,NaN
59110.4,NaN,NaN,18.41,0.11
59111.3,18.77,0.07,NaN,NaN
59112.3,18.74,0.06,18.71,0.09
59113.3,NaN,NaN,18.68,0.07
59114.3,18.7,0.07,NaN,NaN
59115.3,NaN,NaN,18.67,0.08
59116.2,18.69,0.07,NaN,NaN
59116.4,NaN,NaN,18.66,0.08
59117.3,18.7,0.09,NaN,NaN
59118.2,NaN,NaN,18.62,0.08
59118.3,NaN,NaN,18.66,0.07
59118.4,18.69,0.08,NaN,NaN
59119.2,18.75,0.07,NaN,NaN
59120.3,18.67,0.09,NaN,NaN
59121.3,18.66,0.1,NaN,NaN
59122.2,18.77,0.11,NaN,NaN
59123.2,18.81,0.17,NaN,NaN
59124.3,NaN,NaN,18.57,0.12
59125.2,18.64,0.09,NaN,NaN
59125.3,NaN,NaN,18.63,0.11
59126.3,NaN,NaN,18.51,0.08
59129.2,NaN,NaN,18.55,0.07
59129.3,18.76,0.07,NaN,NaN
59131.2,18.92,0.08,18.56,0.07
59134.2,18.93,0.08,18.54,0.06
59136.2,19.04,0.08,18.51,0.08
59138.2,18.99,0.09,NaN,NaN
59138.3,NaN,NaN,18.56,0.1
59140.2,19.19,0.08,18.61,0.07
59144.2,19.28,0.15,18.6,0.06
59146.3,19.17,0.27,NaN,NaN
59149.2,NaN,NaN,18.8,0.13
59149.3,19.36,0.24,NaN,NaN
59151.2,19.45,0.16,18.71,0.08
59153.1,NaN,NaN,18.62,0.08
59153.2,19.45,0.18,NaN,NaN
59155.2,19.49,0.16,18.69,0.08
59157.2,19.55,0.13,NaN,NaN
59164.2,19.5,0.15,NaN,NaN
59167.2,NaN,NaN,18.76,0.09
59167.3,19.62,0.13,NaN,NaN
59169.2,19.52,0.1,18.69,0.09
59171.2,19.69,0.11,NaN,NaN
59173.2,19.66,0.18,18.8,0.08
59178.2,19.78,0.16,NaN,NaN
59178.3,NaN,NaN,19.05,0.14
59180.1,NaN,NaN,18.67,0.12
59182.2,NaN,NaN,18.84,0.12
59184.1,NaN,NaN,18.83,0.11
59187.1,19.88,0.15,NaN,NaN
59187.2,NaN,NaN,18.79,0.11
59189.1,19.86,0.14,NaN,NaN
59194.1,NaN,NaN,18.79,0.09
59194.2,19.94,0.18,NaN,NaN
59199.1,NaN,NaN,18.9,0.08
59199.2,19.92,0.21,NaN,NaN
59202.1,NaN,NaN,18.82,0.1
59202.2,20.15,0.25,NaN,NaN
59204.2,NaN,NaN,19.0,0.11
59210.1,NaN,NaN,19.02,0.12
59215.1,20.37,0.22,NaN,NaN
59219.1,20.28,0.15,19.18,0.1
59223.1,NaN,NaN,19.31,0.1
59225.1,20.33,0.24,NaN,NaN
59225.2,NaN,NaN,18.73,0.21
59227.1,NaN,NaN,19.33,0.15
59233.1,NaN,NaN,19.58,0.13
