MJD,g,gerr,r,rerr
59106.4,NaN,NaN,20.42,0.24
59109.3,20.07,0.18,NaN,NaN
59109.4,20.1,0.28,19.81,0.16
59110.4,20.02,0.17,NaN,NaN
59111.3,19.89,0.11,NaN,NaN
59112.3,19.8,0.12,NaN,NaN
59112.4,NaN,NaN,19.92,0.13
59113.3,NaN,NaN,19.75,0.12
59115.2,19.79,0.13,NaN,NaN
59115.3,19.87,0.15,19.92,0.09
59116.2,19.88,0.16,NaN,NaN
59116.4,NaN,NaN,19.95,0.14
59117.3,19.79,0.15,NaN,NaN
59117.4,NaN,NaN,19.95,0.11
59118.2,NaN,NaN,19.79,0.12
59118.3,NaN,NaN,19.95,0.12
59118.4,19.96,0.13,NaN,NaN
59120.3,20.0,0.26,NaN,NaN
59121.3,20.16,0.29,NaN,NaN
59122.3,19.83,0.26,NaN,NaN
59129.2,NaN,NaN,20.35,0.24
59131.2,NaN,NaN,20.39,0.18
59136.2,NaN,NaN,20.73,0.2
