MJD,g,gerr,r,rerr
59114.3,19.68,0.18,NaN,NaN
59115.3,NaN,NaN,19.35,0.09
59115.4,19.06,0.09,NaN,NaN
59116.3,18.94,0.1,NaN,NaN
59116.4,NaN,NaN,19.07,0.07
59117.3,18.88,0.09,NaN,NaN
59117.4,NaN,NaN,19.0,0.06
59118.3,NaN,NaN,18.91,0.08
59118.4,NaN,NaN,18.91,0.08
59119.3,18.75,0.09,NaN,NaN
59120.3,18.84,0.12,NaN,NaN
59121.3,18.81,0.1,NaN,NaN
59122.3,18.72,0.14,NaN,NaN
59123.3,NaN,NaN,18.81,0.13
59123.4,18.74,0.14,NaN,NaN
59124.3,NaN,NaN,18.87,0.17
59125.3,NaN,NaN,18.73,0.1
59125.4,18.88,0.15,NaN,NaN
59126.4,NaN,NaN,18.91,0.11
59129.2,NaN,NaN,18.82,0.07
59129.4,19.02,0.11,NaN,NaN
59131.3,19.04,0.11,NaN,NaN
59131.4,NaN,NaN,18.82,0.12
59134.3,19.09,0.1,18.82,0.07
59136.3,NaN,NaN,18.84,0.07
59136.4,19.18,0.1,NaN,NaN
59138.2,19.29,0.12,NaN,NaN
59138.3,NaN,NaN,18.87,0.06
59140.2,NaN,NaN,18.93,0.07
59144.2,NaN,NaN,18.95,0.08
59144.3,19.55,0.12,NaN,NaN
59149.2,NaN,NaN,18.76,0.16
59149.4,19.53,0.2,NaN,NaN
59151.2,19.62,0.26,18.94,0.1
59153.2,19.57,0.26,NaN,NaN
59153.3,NaN,NaN,19.27,0.18
59155.2,19.4,0.17,19.0,0.09
59157.4,19.62,0.2,NaN,NaN
59164.3,20.04,0.2,19.12,0.1
59166.4,NaN,NaN,19.12,0.08
59167.2,NaN,NaN,19.13,0.09
59167.3,20.0,0.21,NaN,NaN
59169.2,19.94,0.14,19.13,0.1
59171.2,NaN,NaN,19.13,0.09
59173.2,20.03,0.2,19.13,0.1
59178.2,20.03,0.22,NaN,NaN
59180.2,NaN,NaN,18.99,0.22
59182.4,NaN,NaN,19.07,0.17
59186.2,NaN,NaN,19.32,0.24
59188.2,20.32,0.28,19.23,0.13
59193.2,NaN,NaN,19.31,0.09
59195.2,20.7,0.3,19.47,0.12
59199.1,NaN,NaN,19.57,0.23
59199.2,20.69,0.27,NaN,NaN
59202.1,NaN,NaN,19.8,0.15
