MJD,g,gerr,r,rerr
59118.4,20.68,0.26,NaN,NaN
59118.5,20.62,0.28,NaN,NaN
59119.3,18.48,0.09,NaN,NaN
59120.3,18.15,0.11,NaN,NaN
59121.3,18.1,0.07,NaN,NaN
59121.5,NaN,NaN,18.31,0.06
59122.3,18.19,0.11,NaN,NaN
59123.3,NaN,NaN,18.24,0.12
59123.4,18.12,0.08,18.18,0.08
59124.3,NaN,NaN,18.13,0.13
59125.3,NaN,NaN,18.14,0.12
59125.4,18.04,0.07,NaN,NaN
59126.4,NaN,NaN,18.09,0.07
59127.4,18.18,0.17,18.1,0.11
59129.3,18.17,0.08,18.14,0.07
59131.3,18.22,0.07,NaN,NaN
59131.4,NaN,NaN,18.11,0.15
59134.3,18.22,0.07,18.11,0.07
59136.3,NaN,NaN,18.12,0.05
59136.4,18.26,0.06,NaN,NaN
59138.3,NaN,NaN,18.05,0.06
59138.4,18.29,0.06,NaN,NaN
59140.3,NaN,NaN,18.04,0.05
59140.4,18.35,0.07,NaN,NaN
59142.3,NaN,NaN,18.07,0.06
59142.4,18.38,0.06,NaN,NaN
59144.2,NaN,NaN,18.1,0.06
59144.4,18.44,0.08,NaN,NaN
59146.3,NaN,NaN,18.13,0.25
59150.3,NaN,NaN,18.07,0.07
59150.4,18.58,0.1,NaN,NaN
59152.2,NaN,NaN,18.07,0.08
59152.3,18.59,0.17,NaN,NaN
59154.2,NaN,NaN,18.15,0.1
59154.3,18.63,0.16,NaN,NaN
59156.4,18.74,0.14,NaN,NaN
59156.5,NaN,NaN,18.0,0.1
59158.2,18.62,0.11,18.08,0.08
59164.3,NaN,NaN,18.06,0.08
59164.4,18.72,0.1,NaN,NaN
59166.3,NaN,NaN,18.12,0.07
59167.2,NaN,NaN,18.07,0.06
59168.1,NaN,NaN,18.08,0.06
59168.2,18.89,0.09,NaN,NaN
59169.3,18.88,0.08,18.03,0.07
59170.2,18.84,0.1,18.07,0.07
59171.3,18.85,0.1,NaN,NaN
59172.2,18.89,0.11,18.09,0.07
59173.2,NaN,NaN,18.08,0.07
59173.3,18.82,0.1,NaN,NaN
59175.3,18.87,0.11,NaN,NaN
59176.2,19.03,0.3,NaN,NaN
59178.2,18.98,0.13,NaN,NaN
59180.2,18.99,0.2,17.95,0.13
59182.2,19.0,0.18,NaN,NaN
59182.4,NaN,NaN,18.12,0.08
59184.2,18.91,0.16,NaN,NaN
59184.3,NaN,NaN,18.04,0.06
59186.2,18.94,0.23,NaN,NaN
59186.3,NaN,NaN,17.96,0.19
59188.2,19.0,0.13,NaN,NaN
59188.3,NaN,NaN,18.1,0.07
59190.3,19.01,0.12,NaN,NaN
59192.2,19.06,0.12,18.0,0.08
59193.2,19.09,0.13,18.05,0.09
59194.2,19.06,0.15,18.11,0.1
59195.2,19.12,0.13,18.06,0.06
59197.2,NaN,NaN,18.07,0.11
59199.2,NaN,NaN,18.08,0.07
59199.3,18.99,0.23,NaN,NaN
59202.2,19.06,0.1,NaN,NaN
59202.3,NaN,NaN,18.09,0.08
59204.2,19.12,0.16,18.06,0.08
59206.2,19.09,0.3,18.15,0.23
59210.2,19.32,0.2,NaN,NaN
59210.3,NaN,NaN,18.12,0.09
59216.1,NaN,NaN,18.19,0.08
59216.2,19.42,0.2,18.22,0.09
59218.2,19.32,0.17,18.17,0.08
59220.2,19.43,0.16,18.25,0.08
59222.2,NaN,NaN,18.29,0.06
59224.1,NaN,NaN,18.32,0.11
59224.2,19.49,0.19,18.3,0.07
59226.2,19.71,0.23,18.44,0.09
59228.1,NaN,NaN,18.58,0.11
59228.2,19.88,0.17,NaN,NaN
59230.1,NaN,NaN,18.56,0.08
59230.2,20.05,0.24,NaN,NaN
59232.2,NaN,NaN,18.69,0.08
