MJD,g,gerr,r,rerr
59120.5,18.36,0.07,18.58,0.07
59121.4,18.31,0.08,NaN,NaN
59121.5,18.25,0.07,NaN,NaN
59122.5,NaN,NaN,18.16,0.06
59124.4,NaN,NaN,18.07,0.08
59124.5,18.15,0.08,18.08,0.06
59126.4,NaN,NaN,18.04,0.07
59126.5,18.08,0.06,18.06,0.08
59128.4,18.11,0.08,NaN,NaN
59128.5,18.21,0.07,18.03,0.06
59130.5,18.13,0.07,17.97,0.06
59135.4,18.23,0.07,NaN,NaN
59135.5,NaN,NaN,17.95,0.05
59137.4,18.22,0.05,NaN,NaN
59137.5,18.27,0.05,17.94,0.05
59139.4,18.31,0.08,NaN,NaN
59139.5,NaN,NaN,17.98,0.05
59141.4,18.31,0.07,NaN,NaN
59141.5,18.39,0.05,18.01,0.04
59143.4,18.42,0.07,NaN,NaN
59143.5,NaN,NaN,17.9,0.07
59145.4,18.42,0.07,NaN,NaN
59145.5,18.48,0.08,17.93,0.05
59149.3,NaN,NaN,17.93,0.07
59149.4,NaN,NaN,17.99,0.12
59149.5,18.54,0.07,NaN,NaN
59151.5,18.61,0.08,18.04,0.07
59153.5,18.56,0.08,18.05,0.06
59155.4,18.66,0.13,18.05,0.08
59156.5,18.64,0.09,18.0,0.07
59157.4,18.61,0.12,NaN,NaN
59157.5,NaN,NaN,17.99,0.08
59158.4,18.58,0.11,17.92,0.07
59163.5,NaN,NaN,18.03,0.05
59165.4,18.71,0.08,17.97,0.06
59167.5,18.73,0.07,18.04,0.06
59168.4,NaN,NaN,17.94,0.08
59168.5,18.71,0.1,NaN,NaN
59169.5,NaN,NaN,17.96,0.06
59170.4,18.74,0.08,NaN,NaN
59170.5,NaN,NaN,17.9,0.05
59171.4,18.79,0.08,NaN,NaN
59171.5,NaN,NaN,17.97,0.05
59173.4,NaN,NaN,17.92,0.09
59173.5,18.85,0.16,NaN,NaN
59176.4,18.81,0.09,17.93,0.05
59176.5,18.81,0.11,NaN,NaN
59179.4,NaN,NaN,18.02,0.07
59179.5,18.86,0.1,NaN,NaN
59181.4,NaN,NaN,17.97,0.06
59181.5,18.87,0.11,17.92,0.06
59185.4,NaN,NaN,17.98,0.08
59185.5,18.73,0.13,NaN,NaN
59187.4,18.81,0.14,18.02,0.09
59187.5,NaN,NaN,17.94,0.1
59189.3,NaN,NaN,18.0,0.05
59189.4,NaN,NaN,17.96,0.07
59192.4,18.74,0.13,17.77,0.13
59194.4,18.78,0.14,18.02,0.06
59196.4,18.92,0.12,18.01,0.06
59196.5,NaN,NaN,17.9,0.07
59199.4,18.92,0.1,18.03,0.06
59202.4,18.95,0.1,17.99,0.08
59204.4,18.94,0.07,18.01,0.06
59206.4,18.98,0.14,17.98,0.07
59215.3,NaN,NaN,18.22,0.12
59215.4,NaN,NaN,18.11,0.08
59217.3,18.98,0.22,NaN,NaN
59217.4,NaN,NaN,18.06,0.07
59219.3,19.26,0.1,18.15,0.06
59221.3,19.2,0.09,18.25,0.05
59221.4,19.25,0.13,18.15,0.07
59223.3,19.18,0.11,18.17,0.08
59225.2,19.23,0.11,NaN,NaN
59225.3,19.33,0.16,18.29,0.07
59225.4,NaN,NaN,18.2,0.06
59227.3,NaN,NaN,18.4,0.1
59227.4,19.55,0.16,NaN,NaN
59229.3,19.53,0.25,18.35,0.11
59231.2,19.59,0.15,NaN,NaN
59231.3,19.52,0.24,18.37,0.08
59233.3,NaN,NaN,18.45,0.07
59233.4,19.77,0.17,NaN,NaN
59249.3,NaN,NaN,19.32,0.18
59251.2,NaN,NaN,19.49,0.12
59253.3,NaN,NaN,19.65,0.12
59257.2,NaN,NaN,19.78,0.15
59262.2,NaN,NaN,19.84,0.17
59264.2,NaN,NaN,19.97,0.17
59266.2,NaN,NaN,19.52,0.26
59276.3,NaN,NaN,19.8,0.21
59280.3,NaN,NaN,20.08,0.19
59290.2,NaN,NaN,19.98,0.18
59292.2,NaN,NaN,19.86,0.18
59294.2,NaN,NaN,19.74,0.19
59304.2,NaN,NaN,19.82,0.17
