MJD,g,gerr,r,rerr
59121.4,18.72,0.1,NaN,NaN
59124.4,NaN,NaN,18.73,0.13
59124.5,18.76,0.19,NaN,NaN
59126.4,NaN,NaN,18.66,0.12
59126.5,18.79,0.16,NaN,NaN
59128.4,18.83,0.15,NaN,NaN
59130.4,18.73,0.08,18.69,0.09
59134.4,18.84,0.09,18.64,0.08
59136.3,NaN,NaN,18.61,0.07
59136.4,18.86,0.08,NaN,NaN
59138.3,NaN,NaN,18.59,0.07
59138.4,18.88,0.09,NaN,NaN
59142.4,18.98,0.08,18.64,0.08
59144.4,19.01,0.1,18.65,0.07
59150.3,NaN,NaN,18.76,0.09
59150.4,19.03,0.15,NaN,NaN
59151.3,18.95,0.19,NaN,NaN
59151.4,NaN,NaN,18.59,0.1
59153.2,19.1,0.22,NaN,NaN
59153.3,NaN,NaN,18.61,0.13
59155.2,19.07,0.2,NaN,NaN
59155.3,NaN,NaN,18.64,0.09
59156.3,NaN,NaN,18.66,0.09
59158.3,19.18,0.18,NaN,NaN
59158.4,NaN,NaN,18.65,0.13
59165.3,NaN,NaN,18.63,0.06
59167.3,NaN,NaN,18.63,0.11
59169.3,19.23,0.11,18.64,0.08
59171.3,19.24,0.11,NaN,NaN
59171.4,NaN,NaN,18.62,0.08
59174.3,19.17,0.15,NaN,NaN
59176.3,19.05,0.13,18.56,0.06
59178.2,19.05,0.12,NaN,NaN
59178.3,NaN,NaN,18.72,0.11
59180.2,NaN,NaN,18.48,0.19
59182.2,19.26,0.24,NaN,NaN
59182.4,NaN,NaN,18.61,0.12
59184.2,19.34,0.23,NaN,NaN
59184.3,NaN,NaN,18.64,0.1
59188.2,19.25,0.12,18.59,0.1
59193.2,19.44,0.22,18.63,0.08
59195.2,19.24,0.13,18.67,0.06
59197.2,NaN,NaN,18.68,0.13
59199.2,NaN,NaN,18.69,0.1
59199.3,19.35,0.12,NaN,NaN
59202.2,19.35,0.15,NaN,NaN
59202.3,NaN,NaN,18.63,0.12
59204.2,19.2,0.13,18.67,0.09
59210.2,19.56,0.23,NaN,NaN
59210.3,NaN,NaN,18.87,0.15
59216.2,19.16,0.21,18.8,0.1
59218.2,19.6,0.13,18.89,0.09
59220.2,19.74,0.14,19.01,0.1
59222.2,NaN,NaN,18.98,0.08
59224.2,19.94,0.19,19.0,0.19
59226.2,NaN,NaN,19.08,0.14
59230.2,20.38,0.27,NaN,NaN
59254.2,NaN,NaN,20.42,0.21
