MJD,g,gerr,r,rerr
59123.3,NaN,NaN,19.51,0.24
59124.3,NaN,NaN,18.47,0.08
59125.2,17.73,0.06,NaN,NaN
59125.3,NaN,NaN,17.85,0.05
59126.3,NaN,NaN,17.51,0.05
59127.2,17.16,0.06,NaN,NaN
59127.3,NaN,NaN,17.38,0.16
59129.2,NaN,NaN,17.42,0.04
59129.3,17.22,0.05,NaN,NaN
59131.2,NaN,NaN,17.45,0.04
59131.3,17.29,0.05,NaN,NaN
59134.2,17.35,0.05,17.41,0.04
59136.2,17.35,0.05,17.4,0.04
59138.1,NaN,NaN,17.38,0.04
59138.2,17.37,0.05,NaN,NaN
59140.1,NaN,NaN,17.36,0.04
59140.2,17.37,0.04,NaN,NaN
59144.2,17.4,0.06,17.36,0.05
59146.1,NaN,NaN,17.36,0.05
59149.1,NaN,NaN,17.35,0.05
59149.2,17.43,0.05,NaN,NaN
59151.1,NaN,NaN,17.36,0.04
59151.2,17.45,0.05,NaN,NaN
59153.1,NaN,NaN,17.39,0.05
59153.2,17.53,0.05,NaN,NaN
59155.1,NaN,NaN,17.38,0.05
59155.2,17.52,0.05,NaN,NaN
59157.1,NaN,NaN,17.41,0.04
59164.2,17.67,0.07,17.49,0.04
59167.2,17.76,0.04,17.57,0.04
59169.2,17.8,0.06,17.55,0.04
59171.1,NaN,NaN,17.56,0.05
59171.2,17.82,0.05,NaN,NaN
59173.1,NaN,NaN,17.58,0.05
59175.1,17.92,0.07,NaN,NaN
59177.1,NaN,NaN,17.65,0.04
59179.1,18.03,0.07,17.66,0.06
59181.1,18.08,0.08,17.68,0.06
59183.1,18.19,0.1,17.7,0.05
59185.1,18.17,0.06,NaN,NaN
59185.2,NaN,NaN,17.74,0.05
59187.1,18.24,0.06,NaN,NaN
59187.2,NaN,NaN,17.77,0.06
59189.1,18.26,0.06,NaN,NaN
59189.2,NaN,NaN,17.81,0.05
59194.1,18.41,0.07,17.84,0.05
59197.1,18.57,0.12,NaN,NaN
59199.1,NaN,NaN,17.93,0.05
59199.2,18.53,0.1,NaN,NaN
59202.2,18.59,0.11,NaN,NaN
59204.1,18.65,0.1,NaN,NaN
59204.2,NaN,NaN,18.03,0.1
59206.1,18.54,0.25,NaN,NaN
59210.1,18.92,0.17,18.13,0.08
59215.1,19.01,0.25,NaN,NaN
59215.2,NaN,NaN,18.07,0.15
59219.1,NaN,NaN,18.35,0.08
59221.1,19.15,0.23,NaN,NaN
59223.1,19.46,0.17,18.41,0.1
59225.2,NaN,NaN,18.55,0.18
59227.1,NaN,NaN,18.51,0.14
