MJD,g,gerr,r,rerr
59126.4,18.68,0.17,18.65,0.11
59128.3,18.61,0.16,NaN,NaN
59130.4,18.52,0.08,18.56,0.09
59134.4,18.47,0.08,NaN,NaN
59136.4,18.56,0.09,NaN,NaN
59138.4,18.54,0.11,18.56,0.09
59140.3,18.62,0.08,NaN,NaN
59140.4,NaN,NaN,18.52,0.08
59142.4,NaN,NaN,18.67,0.09
59149.3,NaN,NaN,18.55,0.13
59150.4,18.77,0.14,NaN,NaN
59151.3,18.98,0.21,18.6,0.16
59152.4,NaN,NaN,18.62,0.19
59153.3,NaN,NaN,18.58,0.17
59156.3,19.41,0.19,NaN,NaN
59158.3,NaN,NaN,18.67,0.12
59165.2,NaN,NaN,18.69,0.1
59167.2,NaN,NaN,18.83,0.12
59168.2,19.54,0.17,NaN,NaN
59168.3,NaN,NaN,18.81,0.1
59169.3,19.5,0.18,18.74,0.09
59170.2,19.58,0.14,NaN,NaN
59170.3,NaN,NaN,18.78,0.09
59171.3,19.62,0.16,NaN,NaN
59174.3,NaN,NaN,18.77,0.13
59176.3,NaN,NaN,18.75,0.1
59178.2,NaN,NaN,18.75,0.11
59184.3,NaN,NaN,18.71,0.19
59185.2,NaN,NaN,18.82,0.13
59187.2,NaN,NaN,18.82,0.28
59189.2,NaN,NaN,18.88,0.09
59195.2,NaN,NaN,18.86,0.09
59199.2,19.78,0.27,NaN,NaN
59204.2,NaN,NaN,18.94,0.13
59218.2,NaN,NaN,19.07,0.14
