MJD,g,gerr,r,rerr
59140.5,18.61,0.1,18.02,0.07
59142.5,18.66,0.08,18.11,0.08
59144.5,18.81,0.07,18.08,0.05
59146.5,NaN,NaN,17.98,0.11
59150.5,18.91,0.09,18.23,0.07
59152.5,18.88,0.13,18.22,0.09
59155.5,19.03,0.11,18.21,0.05
59157.5,19.07,0.2,18.21,0.09
59159.5,19.07,0.11,18.26,0.07
59165.5,19.35,0.11,18.31,0.06
59168.5,19.4,0.11,18.39,0.06
59170.5,19.35,0.1,NaN,NaN
59170.6,NaN,NaN,18.34,0.08
59173.5,19.41,0.13,18.38,0.1
59176.5,19.63,0.11,NaN,NaN
59176.6,NaN,NaN,18.47,0.09
59179.5,19.7,0.16,NaN,NaN
59181.5,19.76,0.21,18.56,0.08
59184.4,19.87,0.29,NaN,NaN
59184.5,NaN,NaN,18.6,0.08
59188.4,NaN,NaN,18.71,0.13
59188.5,19.77,0.21,NaN,NaN
59193.4,20.14,0.2,NaN,NaN
59193.5,NaN,NaN,18.81,0.07
59195.5,NaN,NaN,19.0,0.1
59198.5,20.59,0.23,19.16,0.12
59200.5,NaN,NaN,19.22,0.15
59203.5,NaN,NaN,19.56,0.14
59219.4,NaN,NaN,19.6,0.2
59223.5,NaN,NaN,19.89,0.19
59250.3,NaN,NaN,20.12,0.2
59254.4,NaN,NaN,20.06,0.13
59256.4,NaN,NaN,20.5,0.21
59258.3,NaN,NaN,20.03,0.18
59262.3,NaN,NaN,20.14,0.19
59264.3,NaN,NaN,20.18,0.19
