MJD,g,gerr,r,rerr
59128.3,18.93,0.13,NaN,NaN
59128.4,NaN,NaN,19.33,0.17
59130.3,NaN,NaN,19.08,0.09
59130.4,18.85,0.1,NaN,NaN
59134.3,18.8,0.12,18.85,0.09
59136.3,NaN,NaN,18.83,0.08
59136.4,18.83,0.06,NaN,NaN
59138.3,NaN,NaN,18.88,0.08
59138.4,18.85,0.09,NaN,NaN
59140.3,18.8,0.07,18.81,0.08
59142.4,18.87,0.08,NaN,NaN
59144.2,NaN,NaN,18.89,0.07
59149.3,NaN,NaN,18.68,0.13
59149.4,19.16,0.17,NaN,NaN
59150.3,NaN,NaN,18.65,0.09
59150.4,18.97,0.17,NaN,NaN
59156.3,NaN,NaN,18.75,0.09
59158.2,NaN,NaN,18.84,0.1
59158.3,19.42,0.14,NaN,NaN
59164.3,19.57,0.16,18.96,0.14
59167.2,19.76,0.16,18.97,0.08
59169.2,19.89,0.13,18.97,0.07
59172.2,20.01,0.14,18.96,0.07
59174.3,NaN,NaN,19.05,0.12
59181.1,NaN,NaN,19.16,0.22
59183.1,NaN,NaN,19.02,0.14
59185.2,19.97,0.24,19.05,0.15
59189.2,19.78,0.2,NaN,NaN
59193.2,NaN,NaN,19.12,0.09
59195.2,20.29,0.17,19.23,0.09
59199.1,NaN,NaN,19.25,0.21
59202.3,NaN,NaN,19.15,0.12
59204.2,NaN,NaN,19.23,0.17
59216.2,NaN,NaN,19.36,0.19
59220.1,NaN,NaN,19.48,0.11
59224.1,NaN,NaN,19.53,0.11
59226.1,NaN,NaN,19.54,0.17
59228.1,NaN,NaN,19.55,0.23
59230.1,NaN,NaN,19.74,0.18
59232.1,NaN,NaN,19.73,0.13
