MJD,g,gerr,r,rerr
59120.4,19.87,0.26,NaN,NaN
59121.4,19.58,0.21,NaN,NaN
59122.4,19.59,0.24,NaN,NaN
59123.4,NaN,NaN,19.58,0.29
59124.4,NaN,NaN,19.64,0.29
59126.4,NaN,NaN,19.67,0.28
59126.5,19.34,0.22,NaN,NaN
59130.4,19.14,0.11,19.17,0.1
59134.4,NaN,NaN,19.05,0.1
59136.4,19.03,0.07,NaN,NaN
59138.3,NaN,NaN,19.04,0.11
59138.4,19.06,0.08,NaN,NaN
59140.4,19.09,0.08,19.14,0.08
59142.4,19.1,0.09,19.1,0.09
59144.4,19.12,0.08,19.17,0.08
59150.3,NaN,NaN,19.03,0.14
59150.4,19.31,0.16,NaN,NaN
59151.3,19.22,0.18,NaN,NaN
59151.4,NaN,NaN,19.12,0.18
59152.3,19.25,0.21,NaN,NaN
59152.4,NaN,NaN,19.24,0.16
59154.3,19.1,0.16,NaN,NaN
59156.3,NaN,NaN,19.22,0.09
59158.3,19.27,0.17,NaN,NaN
59158.4,NaN,NaN,19.13,0.16
59165.3,19.66,0.11,19.28,0.08
59167.3,NaN,NaN,19.46,0.12
59169.3,19.65,0.13,19.37,0.11
59171.3,19.8,0.12,19.47,0.1
59174.3,NaN,NaN,19.64,0.26
59176.3,19.95,0.19,19.63,0.14
59178.3,NaN,NaN,19.53,0.16
59188.3,NaN,NaN,19.91,0.29
59190.2,NaN,NaN,19.93,0.19
59193.2,NaN,NaN,19.97,0.17
59195.2,20.35,0.21,20.07,0.18
59204.2,NaN,NaN,20.16,0.2
59216.2,NaN,NaN,20.19,0.27
59218.2,NaN,NaN,19.95,0.19
