MJD,g,gerr,r,rerr
59140.3,NaN,NaN,18.89,0.07
59140.4,18.78,0.06,NaN,NaN
59142.4,18.65,0.06,NaN,NaN
59144.4,18.59,0.06,18.61,0.08
59150.3,NaN,NaN,18.5,0.06
59150.4,18.64,0.08,NaN,NaN
59152.3,18.64,0.12,NaN,NaN
59152.4,NaN,NaN,18.44,0.07
59156.4,18.72,0.12,18.38,0.07
59158.2,18.76,0.11,18.48,0.08
59164.3,NaN,NaN,18.49,0.06
59164.4,18.97,0.11,NaN,NaN
59167.2,NaN,NaN,18.49,0.06
59167.3,18.97,0.08,NaN,NaN
59169.3,18.9,0.08,18.48,0.08
59171.2,NaN,NaN,18.47,0.06
59171.3,19.11,0.09,NaN,NaN
59173.2,NaN,NaN,18.51,0.06
59173.3,19.05,0.1,NaN,NaN
59175.3,19.08,0.14,NaN,NaN
59180.2,18.99,0.2,18.45,0.19
59182.2,19.18,0.14,NaN,NaN
59182.4,NaN,NaN,18.57,0.11
59184.2,19.22,0.16,NaN,NaN
59184.3,NaN,NaN,18.55,0.08
59186.3,NaN,NaN,18.77,0.22
59188.2,19.33,0.12,NaN,NaN
59188.3,NaN,NaN,18.52,0.08
59193.2,19.39,0.11,18.56,0.06
59195.2,19.39,0.1,18.62,0.07
59197.2,NaN,NaN,18.54,0.12
59199.2,NaN,NaN,18.68,0.08
59199.3,19.44,0.15,NaN,NaN
59202.2,19.37,0.11,NaN,NaN
59202.3,NaN,NaN,18.6,0.11
59204.2,19.38,0.13,18.66,0.07
59206.2,19.2,0.26,18.53,0.23
59210.2,19.45,0.2,NaN,NaN
59210.3,NaN,NaN,18.52,0.11
59216.2,19.5,0.14,18.58,0.09
59218.2,19.44,0.11,18.59,0.07
59220.2,19.38,0.12,18.63,0.07
59222.2,19.64,0.23,18.71,0.07
59224.2,19.58,0.17,18.63,0.08
59226.2,19.56,0.19,18.62,0.1
59228.1,NaN,NaN,18.52,0.12
59228.2,19.46,0.17,NaN,NaN
59230.1,NaN,NaN,18.67,0.06
59230.2,19.64,0.13,NaN,NaN
59232.2,19.57,0.1,18.71,0.06
59248.2,19.78,0.14,18.96,0.08
59250.2,NaN,NaN,18.99,0.12
59252.2,NaN,NaN,19.01,0.09
59254.2,20.04,0.18,19.17,0.09
59256.1,20.08,0.19,NaN,NaN
59256.2,NaN,NaN,19.15,0.09
59260.1,20.21,0.27,NaN,NaN
59263.2,NaN,NaN,19.45,0.21
59267.2,NaN,NaN,19.73,0.19
