MJD,g,gerr,r,rerr
59143.4,18.69,0.07,NaN,NaN
59144.2,NaN,NaN,18.58,0.08
59144.3,18.5,0.07,NaN,NaN
59145.2,NaN,NaN,18.64,0.08
59145.3,18.6,0.07,NaN,NaN
59146.3,18.43,0.15,18.4,0.15
59149.2,NaN,NaN,18.46,0.12
59149.3,18.44,0.13,NaN,NaN
59149.4,18.49,0.13,NaN,NaN
59151.2,18.49,0.1,18.33,0.08
59153.2,18.52,0.12,NaN,NaN
59153.3,NaN,NaN,18.46,0.1
59155.2,18.54,0.1,18.5,0.09
59155.3,NaN,NaN,18.38,0.08
59157.3,18.66,0.09,18.41,0.08
59164.3,19.0,0.12,18.55,0.09
59167.2,18.88,0.09,18.51,0.08
59167.3,19.06,0.11,NaN,NaN
59169.2,18.99,0.1,18.59,0.08
59173.2,19.05,0.1,18.46,0.09
59175.2,NaN,NaN,18.45,0.22
59176.2,18.87,0.16,NaN,NaN
59178.3,NaN,NaN,18.45,0.09
59182.1,NaN,NaN,18.49,0.13
59182.2,19.18,0.21,NaN,NaN
59184.2,19.31,0.21,NaN,NaN
59184.3,NaN,NaN,18.46,0.1
59188.2,19.14,0.14,18.48,0.09
59190.2,NaN,NaN,18.51,0.07
59193.1,NaN,NaN,18.6,0.18
59193.2,19.25,0.14,NaN,NaN
59194.1,NaN,NaN,18.52,0.1
59194.2,19.37,0.12,NaN,NaN
59195.1,NaN,NaN,18.44,0.07
59195.2,19.26,0.13,NaN,NaN
59197.2,NaN,NaN,18.48,0.21
59199.1,NaN,NaN,18.65,0.12
59199.2,19.15,0.16,NaN,NaN
59199.3,19.37,0.17,NaN,NaN
59202.1,NaN,NaN,18.5,0.08
59202.2,19.58,0.17,NaN,NaN
59204.2,19.39,0.18,18.58,0.08
59210.1,NaN,NaN,18.61,0.13
59211.1,19.27,0.2,18.45,0.09
59215.1,19.5,0.14,NaN,NaN
59216.1,19.42,0.12,18.6,0.14
59218.2,NaN,NaN,18.6,0.09
59220.1,19.54,0.14,18.65,0.09
59224.1,NaN,NaN,18.63,0.08
59224.2,19.73,0.26,NaN,NaN
59225.2,NaN,NaN,18.7,0.09
59226.2,19.56,0.2,NaN,NaN
59227.1,19.69,0.27,18.81,0.11
59229.1,NaN,NaN,18.93,0.13
59231.1,19.68,0.21,NaN,NaN
