MJD,g,gerr,r,rerr
59158.5,18.72,0.11,NaN,NaN
59159.5,18.4,0.09,18.68,0.1
59165.4,18.2,0.06,18.2,0.06
59165.5,18.23,0.07,18.23,0.07
59167.5,18.21,0.07,18.11,0.06
59168.4,NaN,NaN,18.07,0.07
59168.5,18.23,0.07,NaN,NaN
59169.5,18.25,0.08,18.12,0.05
59170.5,NaN,NaN,18.2,0.08
59171.5,NaN,NaN,18.11,0.07
59173.5,18.23,0.07,NaN,NaN
59174.5,NaN,NaN,18.23,0.18
59175.5,18.3,0.12,18.11,0.22
59176.4,18.34,0.06,NaN,NaN
59176.5,NaN,NaN,18.24,0.09
59177.5,18.49,0.08,NaN,NaN
59180.5,18.39,0.16,18.14,0.12
59182.5,18.57,0.14,18.27,0.11
59184.4,18.6,0.11,NaN,NaN
59184.5,NaN,NaN,18.19,0.06
59186.5,18.58,0.21,NaN,NaN
59188.4,NaN,NaN,18.34,0.07
59188.5,18.8,0.1,NaN,NaN
59193.5,18.9,0.11,18.46,0.07
59195.5,NaN,NaN,18.54,0.1
59198.4,19.19,0.11,18.53,0.08
59198.5,NaN,NaN,18.53,0.08
59200.4,19.11,0.28,18.56,0.1
59200.5,NaN,NaN,18.53,0.17
59203.4,19.21,0.17,NaN,NaN
59203.5,NaN,NaN,18.54,0.11
59205.4,19.22,0.14,NaN,NaN
59210.3,19.22,0.26,NaN,NaN
59215.5,NaN,NaN,18.78,0.15
59217.4,NaN,NaN,18.6,0.11
59218.4,NaN,NaN,18.71,0.1
59219.5,NaN,NaN,18.68,0.1
59220.4,NaN,NaN,18.44,0.23
59221.4,NaN,NaN,18.64,0.09
59221.5,19.45,0.22,NaN,NaN
59222.4,NaN,NaN,18.61,0.08
59223.4,19.7,0.18,NaN,NaN
59223.5,NaN,NaN,18.62,0.1
59224.3,NaN,NaN,18.71,0.08
59224.4,19.7,0.2,NaN,NaN
59225.4,NaN,NaN,18.68,0.12
59226.4,19.61,0.14,NaN,NaN
59226.5,NaN,NaN,18.65,0.11
59227.4,19.82,0.15,18.61,0.11
59228.4,19.82,0.15,NaN,NaN
59228.5,NaN,NaN,18.66,0.08
59231.4,19.85,0.15,18.67,0.1
59231.5,NaN,NaN,18.78,0.09
59248.4,20.07,0.23,18.73,0.09
59250.4,NaN,NaN,18.77,0.1
59252.2,NaN,NaN,18.88,0.08
59252.4,20.03,0.18,NaN,NaN
59254.3,20.4,0.23,NaN,NaN
59254.4,NaN,NaN,18.95,0.09
59256.4,NaN,NaN,18.89,0.11
59260.4,NaN,NaN,19.06,0.19
59262.2,NaN,NaN,18.98,0.13
59264.3,NaN,NaN,19.12,0.12
59265.3,NaN,NaN,18.96,0.1
59267.3,NaN,NaN,19.06,0.16
59268.3,NaN,NaN,19.2,0.12
59270.3,NaN,NaN,19.16,0.15
59275.4,NaN,NaN,19.31,0.22
59276.4,NaN,NaN,19.43,0.13
59280.3,NaN,NaN,19.66,0.14
59290.3,NaN,NaN,20.09,0.21
