MJD,g,gerr,r,rerr
59165.4,NaN,NaN,18.23,0.05
59167.4,17.45,0.07,NaN,NaN
59167.5,NaN,NaN,17.57,0.05
59168.3,NaN,NaN,17.44,0.04
59168.4,17.3,0.04,NaN,NaN
59169.4,NaN,NaN,17.27,0.04
59169.5,17.19,0.04,NaN,NaN
59171.4,17.08,0.04,17.12,0.05
59176.4,17.26,0.03,17.18,0.03
59178.4,17.39,0.05,NaN,NaN
59180.4,NaN,NaN,17.32,0.08
59180.5,17.55,0.09,NaN,NaN
59182.4,NaN,NaN,17.45,0.05
59182.5,17.71,0.11,NaN,NaN
59184.4,17.78,0.07,NaN,NaN
59184.5,NaN,NaN,17.55,0.05
59185.4,17.8,0.1,NaN,NaN
59187.4,17.9,0.1,17.56,0.07
59189.3,NaN,NaN,17.72,0.06
59192.3,NaN,NaN,17.77,0.08
59194.3,18.24,0.07,NaN,NaN
59194.4,NaN,NaN,17.82,0.05
59196.4,18.32,0.12,17.86,0.05
59198.3,18.46,0.09,17.92,0.06
59200.3,18.51,0.12,NaN,NaN
59200.4,NaN,NaN,18.2,0.13
59203.2,NaN,NaN,18.08,0.07
59203.3,18.66,0.09,NaN,NaN
59205.2,NaN,NaN,18.08,0.1
59215.3,NaN,NaN,18.52,0.24
59216.3,19.42,0.24,18.47,0.07
59218.2,19.38,0.14,NaN,NaN
59220.3,19.53,0.15,NaN,NaN
59223.3,19.74,0.18,18.74,0.1
59225.2,19.79,0.2,NaN,NaN
59225.3,NaN,NaN,18.88,0.08
59227.2,19.98,0.21,NaN,NaN
59227.3,NaN,NaN,18.92,0.09
59231.3,19.9,0.3,NaN,NaN
59232.3,20.05,0.19,19.02,0.1
59248.2,20.54,0.3,19.41,0.2
59250.2,NaN,NaN,19.5,0.19
59252.2,NaN,NaN,19.46,0.11
59254.2,20.57,0.28,19.42,0.12
59256.2,NaN,NaN,19.44,0.11
59265.2,NaN,NaN,19.6,0.18
59267.2,NaN,NaN,19.49,0.23
59269.2,NaN,NaN,19.63,0.15
