MJD,g,gerr,r,rerr
59166.4,19.01,0.1,NaN,NaN
59168.3,18.84,0.08,18.21,0.07
59170.2,18.8,0.1,NaN,NaN
59170.3,NaN,NaN,18.08,0.07
59172.2,18.72,0.12,NaN,NaN
59175.3,18.73,0.15,NaN,NaN
59175.4,NaN,NaN,17.98,0.07
59177.4,18.87,0.11,NaN,NaN
59179.2,18.91,0.17,NaN,NaN
59179.3,NaN,NaN,17.98,0.07
59181.2,18.9,0.18,NaN,NaN
59181.3,NaN,NaN,17.99,0.09
59183.2,18.68,0.19,NaN,NaN
59185.3,NaN,NaN,17.98,0.07
59187.2,18.88,0.16,17.96,0.07
59189.2,NaN,NaN,17.97,0.06
59192.2,NaN,NaN,17.99,0.13
59194.2,19.18,0.16,NaN,NaN
59194.3,NaN,NaN,18.03,0.06
59197.2,NaN,NaN,18.05,0.14
59200.2,19.17,0.13,18.09,0.07
59203.2,NaN,NaN,18.1,0.06
59203.3,19.3,0.19,NaN,NaN
59205.2,NaN,NaN,18.06,0.07
59205.3,19.4,0.16,NaN,NaN
59211.2,NaN,NaN,18.11,0.09
59216.3,NaN,NaN,18.12,0.1
59218.2,19.56,0.18,NaN,NaN
59218.4,NaN,NaN,18.1,0.07
59220.2,19.52,0.19,18.13,0.08
59222.2,NaN,NaN,18.14,0.05
59224.2,19.5,0.22,18.14,0.06
59226.2,19.51,0.2,18.1,0.08
59228.2,19.64,0.14,18.12,0.06
59230.2,19.72,0.13,18.14,0.06
59232.2,19.77,0.19,18.11,0.09
59249.2,NaN,NaN,18.36,0.06
59251.2,NaN,NaN,18.36,0.09
59253.2,20.39,0.27,18.4,0.06
59255.1,NaN,NaN,18.42,0.08
59255.2,20.24,0.26,NaN,NaN
59257.1,NaN,NaN,18.57,0.06
59260.2,20.43,0.29,NaN,NaN
59263.2,NaN,NaN,18.96,0.14
59265.1,NaN,NaN,19.2,0.12
59267.1,NaN,NaN,19.5,0.16
