MJD,g,gerr,r,rerr
59177.5,NaN,NaN,18.76,0.07
59179.5,18.61,0.07,NaN,NaN
59181.5,18.64,0.07,18.52,0.08
59183.5,NaN,NaN,18.37,0.17
59185.5,18.82,0.1,18.48,0.08
59187.5,18.87,0.16,18.6,0.13
59189.5,18.96,0.1,NaN,NaN
59194.4,19.12,0.09,NaN,NaN
59194.5,NaN,NaN,18.65,0.07
59198.5,19.17,0.12,18.7,0.07
59200.5,19.25,0.12,18.75,0.12
59203.4,19.5,0.15,NaN,NaN
59205.4,19.42,0.11,NaN,NaN
59217.4,19.77,0.22,NaN,NaN
59219.4,19.8,0.19,18.77,0.09
59221.4,NaN,NaN,18.94,0.08
59223.4,19.88,0.14,NaN,NaN
59225.4,19.75,0.2,NaN,NaN
59227.4,20.0,0.17,NaN,NaN
59229.4,19.94,0.23,NaN,NaN
59231.4,20.06,0.19,18.96,0.08
59248.3,20.24,0.23,NaN,NaN
59248.4,NaN,NaN,19.1,0.1
59250.3,20.68,0.29,NaN,NaN
59250.4,NaN,NaN,19.11,0.08
59252.4,20.46,0.17,NaN,NaN
59256.3,20.6,0.23,NaN,NaN
59256.4,NaN,NaN,19.27,0.09
59258.4,NaN,NaN,19.28,0.09
59262.3,NaN,NaN,19.48,0.1
59268.3,NaN,NaN,19.58,0.11
