MJD,g,gerr,r,rerr
59178.5,18.37,0.06,NaN,NaN
59180.6,NaN,NaN,18.46,0.15
59184.5,17.97,0.09,18.03,0.07
59186.5,17.94,0.09,NaN,NaN
59188.5,NaN,NaN,18.02,0.07
59188.6,17.9,0.06,NaN,NaN
59193.5,18.06,0.07,18.04,0.05
59195.5,18.16,0.08,18.1,0.09
59198.5,18.27,0.06,18.19,0.07
59200.5,NaN,NaN,18.23,0.1
59203.5,18.46,0.09,18.29,0.07
59206.4,18.44,0.23,NaN,NaN
59215.5,NaN,NaN,18.51,0.13
59217.5,18.96,0.12,18.56,0.1
59219.4,18.97,0.1,NaN,NaN
59219.5,NaN,NaN,18.46,0.08
59221.5,19.12,0.13,18.6,0.1
59223.4,19.12,0.13,NaN,NaN
59223.5,NaN,NaN,18.57,0.08
59225.4,NaN,NaN,18.71,0.12
59225.5,19.36,0.2,NaN,NaN
59227.4,NaN,NaN,18.64,0.09
59227.5,19.32,0.11,NaN,NaN
59229.5,NaN,NaN,18.65,0.14
59231.4,19.46,0.1,NaN,NaN
59231.5,NaN,NaN,18.69,0.07
59248.4,NaN,NaN,18.87,0.1
59248.5,19.84,0.18,NaN,NaN
59250.4,NaN,NaN,18.82,0.1
59250.5,19.81,0.17,NaN,NaN
59252.3,NaN,NaN,18.95,0.1
59252.5,20.0,0.15,NaN,NaN
59256.4,NaN,NaN,19.02,0.09
59256.5,20.09,0.18,NaN,NaN
59260.4,NaN,NaN,19.11,0.17
59263.4,20.11,0.3,19.1,0.17
59265.3,NaN,NaN,19.15,0.1
59265.4,20.33,0.23,NaN,NaN
59267.4,NaN,NaN,19.17,0.14
59269.4,20.58,0.27,NaN,NaN
59271.4,NaN,NaN,19.37,0.23
59275.4,NaN,NaN,19.58,0.15
