MJD,g,gerr,r,rerr
59182.5,18.81,0.15,19.01,0.14
59184.4,18.85,0.13,NaN,NaN
59184.5,NaN,NaN,18.7,0.16
59185.4,18.7,0.13,18.71,0.15
59187.4,NaN,NaN,18.5,0.16
59189.5,18.99,0.15,NaN,NaN
59192.4,18.56,0.23,NaN,NaN
59194.4,18.94,0.15,NaN,NaN
59194.5,NaN,NaN,18.6,0.1
59196.4,18.85,0.16,NaN,NaN
59196.5,NaN,NaN,18.5,0.14
59199.4,19.11,0.13,18.72,0.12
59201.4,19.29,0.15,NaN,NaN
59203.4,19.17,0.13,NaN,NaN
59210.4,NaN,NaN,18.61,0.12
59216.4,19.2,0.25,18.61,0.11
59218.4,NaN,NaN,18.63,0.11
59222.5,19.51,0.18,18.64,0.11
59224.4,19.46,0.18,NaN,NaN
59226.3,19.42,0.22,NaN,NaN
59226.4,NaN,NaN,18.68,0.12
59228.4,19.51,0.17,18.57,0.12
59230.3,19.44,0.12,NaN,NaN
59230.4,NaN,NaN,18.66,0.12
59232.3,NaN,NaN,18.52,0.09
59248.3,19.62,0.14,NaN,NaN
59248.4,NaN,NaN,18.49,0.11
59249.3,NaN,NaN,18.51,0.16
59251.3,NaN,NaN,18.56,0.09
59253.2,19.72,0.18,NaN,NaN
59253.3,NaN,NaN,18.55,0.08
59255.3,NaN,NaN,18.57,0.11
59257.2,NaN,NaN,18.53,0.08
59262.2,NaN,NaN,18.59,0.11
59262.3,19.72,0.2,NaN,NaN
59264.2,19.96,0.21,NaN,NaN
59268.3,NaN,NaN,18.64,0.12
59272.2,NaN,NaN,18.74,0.17
59276.3,NaN,NaN,18.68,0.12
59280.2,19.99,0.2,18.64,0.08
59290.2,20.08,0.26,18.83,0.13
59292.2,NaN,NaN,19.02,0.16
59294.2,NaN,NaN,18.98,0.14
59296.2,NaN,NaN,18.77,0.16
59298.3,NaN,NaN,18.54,0.24
59302.2,NaN,NaN,19.02,0.15
59304.2,NaN,NaN,19.12,0.17
59306.2,NaN,NaN,19.23,0.14
59308.2,NaN,NaN,19.32,0.15
