MJD,g,gerr,r,rerr
59198.5,20.04,0.19,NaN,NaN
59200.4,19.27,0.26,NaN,NaN
59200.5,NaN,NaN,19.32,0.2
59203.5,19.07,0.1,19.12,0.16
59215.5,NaN,NaN,18.97,0.16
59217.4,NaN,NaN,18.93,0.12
59221.4,NaN,NaN,19.05,0.14
59221.5,19.2,0.14,NaN,NaN
59223.4,19.42,0.13,NaN,NaN
59223.5,NaN,NaN,19.03,0.15
59227.4,NaN,NaN,19.23,0.12
59227.5,19.55,0.13,NaN,NaN
59229.5,19.75,0.29,19.01,0.11
59231.4,19.76,0.15,NaN,NaN
59231.5,NaN,NaN,19.15,0.1
59248.4,NaN,NaN,19.33,0.14
59248.5,20.11,0.29,NaN,NaN
59250.4,NaN,NaN,19.35,0.11
59250.5,20.37,0.27,NaN,NaN
59252.3,NaN,NaN,19.4,0.11
59252.5,20.33,0.17,NaN,NaN
59254.4,NaN,NaN,19.44,0.15
59256.4,NaN,NaN,19.41,0.1
59256.5,20.51,0.22,NaN,NaN
59260.4,NaN,NaN,19.37,0.13
59265.4,20.69,0.23,19.53,0.14
59267.4,20.3,0.24,19.58,0.17
59269.4,NaN,NaN,19.44,0.13
59275.4,NaN,NaN,19.55,0.19
59278.4,NaN,NaN,19.56,0.14
59281.3,NaN,NaN,19.59,0.14
59291.4,NaN,NaN,19.83,0.18
59294.3,NaN,NaN,19.73,0.16
59297.3,NaN,NaN,19.92,0.26
59307.3,NaN,NaN,20.33,0.18
59309.3,NaN,NaN,20.29,0.19
