MJD,g,gerr,r,rerr
59203.4,17.81,0.06,NaN,NaN
59203.5,NaN,NaN,17.95,0.08
59205.4,17.39,0.05,NaN,NaN
59210.3,17.13,0.04,NaN,NaN
59216.4,17.19,0.05,17.13,0.11
59218.3,17.2,0.06,NaN,NaN
59218.4,NaN,NaN,17.05,0.04
59220.4,NaN,NaN,17.07,0.07
59222.4,17.36,0.04,NaN,NaN
59224.3,NaN,NaN,17.07,0.04
59224.4,17.42,0.04,NaN,NaN
59226.4,17.55,0.05,NaN,NaN
59226.5,NaN,NaN,17.12,0.04
59228.4,17.61,0.07,NaN,NaN
59228.5,NaN,NaN,17.13,0.06
59231.4,17.81,0.05,17.17,0.05
59248.4,18.51,0.08,17.53,0.05
59250.3,18.54,0.1,NaN,NaN
59250.4,NaN,NaN,17.57,0.05
59252.2,NaN,NaN,17.61,0.05
59252.4,18.63,0.07,NaN,NaN
59254.3,18.71,0.07,NaN,NaN
59254.4,NaN,NaN,17.66,0.06
59256.3,18.67,0.08,NaN,NaN
59256.4,NaN,NaN,17.63,0.05
59258.3,NaN,NaN,17.67,0.1
59258.4,18.84,0.11,NaN,NaN
59262.2,NaN,NaN,17.71,0.05
59262.3,18.86,0.11,NaN,NaN
59264.3,18.98,0.12,17.77,0.05
59266.3,19.21,0.21,17.79,0.07
59268.2,18.87,0.12,NaN,NaN
59268.3,NaN,NaN,17.83,0.05
59270.3,19.1,0.16,17.85,0.08
59272.3,NaN,NaN,17.88,0.07
59274.4,NaN,NaN,17.91,0.09
59276.2,19.01,0.1,NaN,NaN
59276.4,NaN,NaN,17.81,0.05
59280.2,19.27,0.12,NaN,NaN
59280.3,NaN,NaN,17.88,0.05
59290.2,19.39,0.12,NaN,NaN
59290.3,NaN,NaN,18.04,0.06
59292.3,19.35,0.16,18.02,0.06
59294.2,19.66,0.23,18.05,0.07
59296.3,19.35,0.21,NaN,NaN
59296.4,NaN,NaN,18.17,0.11
59301.3,NaN,NaN,18.28,0.14
59303.4,NaN,NaN,18.2,0.07
59305.3,19.92,0.26,NaN,NaN
59307.2,19.72,0.15,18.29,0.06
59309.2,19.93,0.16,18.34,0.07
59311.2,20.15,0.19,18.42,0.07
59313.2,NaN,NaN,18.45,0.07
59315.2,20.42,0.27,18.58,0.08
59322.2,20.13,0.3,18.91,0.1
59324.2,NaN,NaN,19.26,0.18
59328.2,NaN,NaN,19.54,0.17
59334.3,NaN,NaN,19.51,0.18
59336.4,NaN,NaN,19.69,0.18
59341.2,NaN,NaN,19.79,0.15
59343.2,NaN,NaN,19.92,0.18
59345.2,NaN,NaN,19.84,0.17
