MJD,g,gerr,r,rerr
59215.5,19.48,0.26,19.25,0.18
59217.5,NaN,NaN,19.06,0.14
59222.5,NaN,NaN,19.12,0.09
59224.5,19.2,0.11,18.97,0.14
59226.5,19.21,0.11,19.04,0.1
59228.5,19.4,0.11,19.12,0.09
59230.5,19.41,0.1,19.12,0.11
59233.5,NaN,NaN,19.17,0.11
59249.4,NaN,NaN,19.37,0.16
59251.4,20.05,0.17,NaN,NaN
59251.5,NaN,NaN,19.25,0.12
59253.4,20.28,0.2,NaN,NaN
59253.5,NaN,NaN,19.4,0.11
59255.4,20.2,0.23,19.41,0.1
59262.4,NaN,NaN,19.58,0.13
59262.5,20.43,0.27,NaN,NaN
59264.4,20.32,0.16,NaN,NaN
59264.5,NaN,NaN,19.45,0.12
59266.4,NaN,NaN,19.55,0.18
59268.4,NaN,NaN,19.49,0.17
59268.5,20.25,0.21,NaN,NaN
59270.4,NaN,NaN,19.7,0.21
59272.5,NaN,NaN,19.31,0.29
59276.4,NaN,NaN,19.61,0.21
