MJD,g,gerr,r,rerr
59232.2,18.17,0.07,18.11,0.05
59248.1,18.28,0.07,NaN,NaN
59248.2,18.23,0.09,17.66,0.07
59250.2,NaN,NaN,17.67,0.06
59252.2,NaN,NaN,17.72,0.05
59254.1,18.42,0.09,NaN,NaN
59254.2,NaN,NaN,17.68,0.06
59256.1,18.43,0.07,NaN,NaN
59256.2,NaN,NaN,17.69,0.05
59260.1,18.49,0.14,NaN,NaN
59260.2,NaN,NaN,17.8,0.05
59263.1,18.51,0.19,NaN,NaN
59263.2,NaN,NaN,17.75,0.09
59264.1,18.53,0.11,NaN,NaN
59264.2,NaN,NaN,17.7,0.05
59265.2,18.61,0.1,NaN,NaN
59266.1,18.46,0.11,NaN,NaN
59267.1,NaN,NaN,17.69,0.07
59268.2,18.57,0.13,NaN,NaN
59269.1,NaN,NaN,17.66,0.06
59269.2,18.59,0.13,NaN,NaN
59270.1,NaN,NaN,17.73,0.05
59276.1,NaN,NaN,17.68,0.07
59276.2,18.64,0.1,NaN,NaN
59366.5,NaN,NaN,19.82,0.3
59369.5,NaN,NaN,19.52,0.25
59370.5,NaN,NaN,19.77,0.27
59373.5,NaN,NaN,19.75,0.27
59375.5,NaN,NaN,19.48,0.2
59376.5,NaN,NaN,19.77,0.25
59377.5,NaN,NaN,19.93,0.23
59382.5,NaN,NaN,19.89,0.16
59384.5,NaN,NaN,19.88,0.24
59385.5,NaN,NaN,19.77,0.17
59411.5,NaN,NaN,20.33,0.24
59415.4,NaN,NaN,20.16,0.15
59428.5,NaN,NaN,20.31,0.21
59438.5,NaN,NaN,20.36,0.23
59461.4,NaN,NaN,20.64,0.29
59465.4,NaN,NaN,20.6,0.3
59467.4,NaN,NaN,20.45,0.21
59469.4,NaN,NaN,20.57,0.19
59472.4,NaN,NaN,20.6,0.2
59486.3,NaN,NaN,20.35,0.19
