MJD,g,gerr,r,rerr
59231.4,19.64,0.19,NaN,NaN
59231.5,NaN,NaN,19.77,0.18
59234.4,18.4,0.11,NaN,NaN
59249.4,18.49,0.14,18.46,0.12
59251.4,18.56,0.12,18.48,0.09
59253.4,18.6,0.11,18.5,0.07
59255.4,18.74,0.13,18.49,0.08
59257.4,18.83,0.14,NaN,NaN
59262.3,NaN,NaN,18.6,0.08
59262.4,18.94,0.11,NaN,NaN
59264.4,19.06,0.15,NaN,NaN
59266.4,NaN,NaN,18.66,0.12
59268.4,19.19,0.12,18.66,0.07
59270.3,NaN,NaN,18.63,0.1
59274.4,NaN,NaN,18.72,0.15
59276.2,19.29,0.16,NaN,NaN
59276.4,NaN,NaN,18.75,0.11
59280.3,NaN,NaN,18.79,0.14
59280.4,19.39,0.2,NaN,NaN
59290.3,19.52,0.14,18.87,0.1
59292.3,19.56,0.19,18.83,0.08
59295.3,19.5,0.25,18.84,0.19
59297.2,19.55,0.26,NaN,NaN
59297.3,NaN,NaN,18.87,0.13
59304.2,19.85,0.28,NaN,NaN
59304.3,NaN,NaN,18.76,0.15
59307.3,19.77,0.14,18.95,0.1
59309.2,NaN,NaN,18.93,0.11
59311.2,19.82,0.2,18.93,0.16
59313.2,NaN,NaN,18.95,0.1
59315.2,19.9,0.15,18.85,0.3
59317.2,19.96,0.13,19.0,0.11
59320.2,20.06,0.24,NaN,NaN
59323.2,NaN,NaN,19.01,0.1
59323.3,19.77,0.24,NaN,NaN
59325.2,19.91,0.21,NaN,NaN
59325.3,NaN,NaN,19.03,0.12
59329.2,NaN,NaN,19.09,0.19
59338.2,20.51,0.29,19.37,0.11
59340.2,NaN,NaN,19.43,0.13
59342.3,NaN,NaN,19.44,0.12
59344.2,NaN,NaN,19.7,0.21
