MJD,g,gerr,r,rerr
59232.4,18.98,0.08,NaN,NaN
59249.4,19.24,0.15,18.94,0.13
59251.4,19.23,0.1,18.99,0.09
59253.4,19.32,0.14,19.07,0.1
59255.4,19.44,0.13,NaN,NaN
59257.4,19.54,0.27,19.14,0.11
59262.3,19.75,0.14,NaN,NaN
59262.4,NaN,NaN,19.13,0.08
59264.3,NaN,NaN,19.13,0.1
59266.3,19.85,0.23,NaN,NaN
59268.3,NaN,NaN,19.12,0.12
59270.3,NaN,NaN,19.32,0.16
59274.4,NaN,NaN,19.16,0.2
59276.3,20.07,0.23,NaN,NaN
59276.4,NaN,NaN,19.42,0.15
59280.2,20.27,0.2,NaN,NaN
59280.3,NaN,NaN,19.38,0.1
59290.2,NaN,NaN,19.5,0.14
59290.3,20.3,0.19,NaN,NaN
59292.2,NaN,NaN,19.46,0.12
59294.3,20.22,0.27,19.57,0.15
59297.3,NaN,NaN,19.5,0.17
59307.2,NaN,NaN,19.84,0.13
59309.2,NaN,NaN,19.82,0.16
