MJD,g,gerr,r,rerr
59248.4,NaN,NaN,17.74,0.07
59250.4,NaN,NaN,17.71,0.07
59250.5,18.06,0.06,NaN,NaN
59252.3,NaN,NaN,17.79,0.04
59252.5,18.14,0.05,NaN,NaN
59254.4,NaN,NaN,17.82,0.05
59254.5,18.17,0.08,NaN,NaN
59256.4,NaN,NaN,17.85,0.05
59258.4,18.36,0.08,17.9,0.06
59262.4,NaN,NaN,18.07,0.06
59262.5,18.66,0.08,NaN,NaN
59264.4,18.65,0.08,NaN,NaN
59264.5,NaN,NaN,18.13,0.05
59266.4,NaN,NaN,18.14,0.05
59268.4,NaN,NaN,18.19,0.06
59268.5,18.8,0.08,NaN,NaN
59270.4,18.89,0.11,18.23,0.08
59272.4,NaN,NaN,18.28,0.11
59274.4,NaN,NaN,18.35,0.15
59276.3,19.14,0.22,NaN,NaN
59276.4,NaN,NaN,18.24,0.06
59280.3,NaN,NaN,18.33,0.07
59280.4,19.24,0.11,NaN,NaN
59290.4,19.54,0.11,18.48,0.06
59292.3,19.63,0.14,NaN,NaN
59292.4,NaN,NaN,18.49,0.08
59295.2,NaN,NaN,18.46,0.1
59295.3,19.5,0.24,NaN,NaN
59297.3,19.54,0.2,18.51,0.09
59302.3,NaN,NaN,18.44,0.11
59304.3,19.79,0.23,18.68,0.12
59307.3,20.1,0.17,18.66,0.08
59309.3,20.13,0.17,18.79,0.09
59311.2,20.45,0.23,NaN,NaN
59311.3,NaN,NaN,18.81,0.09
59313.3,NaN,NaN,18.95,0.13
59315.3,NaN,NaN,18.61,0.19
59317.3,20.88,0.24,19.21,0.11
59321.3,NaN,NaN,19.62,0.13
59323.3,NaN,NaN,19.65,0.16
59325.3,NaN,NaN,19.77,0.15
59338.3,NaN,NaN,19.94,0.17
59340.3,NaN,NaN,19.98,0.18
59342.3,NaN,NaN,20.05,0.19
59344.2,NaN,NaN,20.1,0.18
59346.3,NaN,NaN,20.15,0.18
59348.3,NaN,NaN,19.9,0.15
59354.2,NaN,NaN,19.89,0.2
59356.3,NaN,NaN,19.9,0.21
59367.2,NaN,NaN,20.45,0.19
