MJD,g,gerr,r,rerr
59248.4,NaN,NaN,19.39,0.11
59248.5,19.27,0.09,NaN,NaN
59249.4,19.32,0.16,NaN,NaN
59249.5,NaN,NaN,19.41,0.16
59250.4,NaN,NaN,19.31,0.15
59250.5,19.22,0.11,NaN,NaN
59251.4,19.15,0.11,NaN,NaN
59251.5,NaN,NaN,19.16,0.12
59252.5,19.12,0.09,19.23,0.09
59253.5,19.11,0.08,19.13,0.1
59254.4,19.05,0.27,19.15,0.12
59255.4,19.13,0.11,19.12,0.08
59256.4,NaN,NaN,19.11,0.08
59257.4,19.18,0.14,NaN,NaN
59260.5,19.15,0.25,NaN,NaN
59262.4,NaN,NaN,19.13,0.11
59262.5,19.13,0.12,NaN,NaN
59263.5,19.17,0.13,18.96,0.11
59265.4,19.15,0.11,19.02,0.09
59267.4,19.35,0.14,19.14,0.12
59269.4,19.18,0.12,19.3,0.2
59271.4,19.32,0.24,19.26,0.17
59273.5,NaN,NaN,19.25,0.18
59275.4,NaN,NaN,19.25,0.14
59278.3,19.6,0.14,NaN,NaN
59278.4,NaN,NaN,19.41,0.12
59290.4,20.21,0.19,19.69,0.14
59291.3,20.08,0.13,NaN,NaN
59291.4,NaN,NaN,19.87,0.19
59293.3,20.2,0.23,19.76,0.21
59296.4,NaN,NaN,19.72,0.19
59300.4,NaN,NaN,19.74,0.29
59306.3,20.63,0.3,NaN,NaN
59306.5,NaN,NaN,20.24,0.27
59307.4,NaN,NaN,20.31,0.22
59308.4,20.84,0.26,NaN,NaN
59309.4,20.85,0.26,20.23,0.24
59312.4,NaN,NaN,20.28,0.24
59314.3,NaN,NaN,20.24,0.17
59314.4,20.96,0.25,NaN,NaN
59315.4,NaN,NaN,20.34,0.22
59316.3,NaN,NaN,20.4,0.21
59316.4,21.24,0.29,NaN,NaN
59317.3,20.95,0.3,NaN,NaN
59317.4,NaN,NaN,20.3,0.18
59319.4,NaN,NaN,20.05,0.19
