MJD,g,gerr,r,rerr
59252.3,NaN,NaN,19.22,0.1
59252.5,18.49,0.07,NaN,NaN
59254.4,NaN,NaN,17.44,0.04
59254.5,17.0,0.06,NaN,NaN
59256.4,NaN,NaN,17.11,0.04
59258.4,16.83,0.04,17.02,0.04
59262.4,NaN,NaN,17.1,0.04
59262.5,17.08,0.04,NaN,NaN
59264.4,17.21,0.04,NaN,NaN
59264.5,NaN,NaN,17.17,0.04
59266.4,NaN,NaN,17.24,0.05
59268.4,NaN,NaN,17.35,0.05
59268.5,17.49,0.06,NaN,NaN
59270.4,17.6,0.05,17.5,0.05
59272.4,17.72,0.08,17.61,0.06
59274.2,17.92,0.19,NaN,NaN
59274.4,NaN,NaN,17.63,0.09
59276.3,17.93,0.07,NaN,NaN
59276.4,NaN,NaN,17.67,0.06
59280.3,NaN,NaN,17.76,0.06
59280.4,18.05,0.05,NaN,NaN
59290.4,18.29,0.05,17.76,0.05
59292.3,18.3,0.07,NaN,NaN
59292.4,NaN,NaN,17.75,0.06
59295.2,NaN,NaN,17.78,0.05
59295.3,18.39,0.08,NaN,NaN
59297.3,18.31,0.09,17.75,0.05
59300.4,18.47,0.11,NaN,NaN
59302.3,18.71,0.12,17.79,0.08
59304.3,18.64,0.08,17.88,0.09
59307.3,18.95,0.08,17.99,0.06
59309.3,19.11,0.09,18.09,0.05
59311.2,19.34,0.11,NaN,NaN
59311.3,NaN,NaN,18.31,0.08
59313.3,19.54,0.11,18.4,0.1
59315.3,NaN,NaN,18.67,0.26
59317.3,20.13,0.16,18.71,0.08
59321.3,NaN,NaN,18.91,0.08
59321.4,20.69,0.23,NaN,NaN
59323.3,20.47,0.28,19.03,0.08
59325.3,NaN,NaN,19.02,0.11
59335.3,NaN,NaN,19.02,0.16
59338.3,20.53,0.24,19.2,0.1
59340.3,NaN,NaN,19.23,0.09
59342.3,NaN,NaN,19.29,0.1
59344.2,NaN,NaN,19.19,0.12
59344.3,20.81,0.25,NaN,NaN
59346.3,NaN,NaN,19.29,0.09
59348.3,NaN,NaN,19.17,0.1
59350.3,NaN,NaN,19.23,0.13
59354.2,NaN,NaN,19.32,0.13
59356.3,NaN,NaN,19.19,0.14
59359.2,NaN,NaN,19.17,0.17
59367.2,NaN,NaN,19.48,0.14
59369.2,NaN,NaN,19.39,0.13
59371.2,NaN,NaN,19.52,0.11
59373.2,NaN,NaN,19.38,0.14
59375.2,NaN,NaN,19.5,0.15
59377.2,NaN,NaN,19.51,0.14
59379.2,NaN,NaN,19.56,0.15
59381.2,NaN,NaN,19.39,0.22
59383.2,NaN,NaN,19.56,0.24
59387.2,NaN,NaN,19.56,0.17
59391.3,NaN,NaN,19.65,0.23
59393.2,NaN,NaN,19.77,0.18
59395.2,NaN,NaN,19.7,0.18
59400.2,NaN,NaN,19.89,0.2
