MJD,g,gerr,r,rerr
59290.2,18.52,0.08,18.47,0.07
59292.2,18.56,0.08,18.48,0.08
59294.2,18.61,0.08,18.54,0.09
59296.2,18.73,0.21,18.58,0.13
59296.3,18.49,0.21,NaN,NaN
59301.2,19.11,0.25,18.84,0.11
59303.2,19.24,0.18,18.83,0.09
59306.2,19.28,0.11,18.97,0.1
59308.2,19.22,0.09,19.07,0.1
59310.2,19.38,0.15,19.17,0.11
59312.2,19.45,0.14,19.02,0.1
59312.3,NaN,NaN,18.79,0.17
59314.2,19.63,0.16,19.07,0.1
59316.2,19.67,0.14,NaN,NaN
59319.2,19.81,0.17,19.2,0.14
59321.2,19.85,0.15,19.14,0.13
59323.2,NaN,NaN,19.18,0.17
59325.2,NaN,NaN,19.22,0.17
