MJD,g,gerr,r,rerr
59291.2,NaN,NaN,18.16,0.07
59293.2,NaN,NaN,18.19,0.05
59293.3,18.32,0.05,NaN,NaN
59296.2,NaN,NaN,18.32,0.11
59296.3,18.39,0.13,NaN,NaN
59298.3,NaN,NaN,18.35,0.23
59302.2,18.65,0.1,NaN,NaN
59304.2,18.84,0.13,18.55,0.08
59306.2,NaN,NaN,18.56,0.07
59306.3,18.99,0.1,NaN,NaN
59308.2,NaN,NaN,18.67,0.08
59308.3,18.99,0.11,NaN,NaN
59310.2,NaN,NaN,18.73,0.12
59312.2,19.18,0.09,NaN,NaN
59312.3,NaN,NaN,18.67,0.1
59314.2,19.34,0.11,18.72,0.08
59316.2,19.38,0.09,18.8,0.08
59319.2,19.45,0.12,18.77,0.09
59321.2,19.44,0.11,18.86,0.09
59323.2,19.6,0.2,18.88,0.1
59325.2,19.55,0.13,18.86,0.1
59329.2,NaN,NaN,18.8,0.11
59335.2,20.03,0.21,19.12,0.12
59338.2,NaN,NaN,19.18,0.11
59340.2,20.43,0.26,19.13,0.14
59342.2,20.54,0.26,NaN,NaN
59342.3,NaN,NaN,19.24,0.13
59344.2,NaN,NaN,19.44,0.17
59346.2,NaN,NaN,19.47,0.13
59348.2,NaN,NaN,19.62,0.13
