SN,Radius,Mass,Energy,Nichel
DES16C3CJE,8.342139,27.537546,0.8209337,0.20715418
OGLE14-73,14.153275,31.239857,3.5927758,0.2837447
PTF12GCX,2.8007188,21.066565,4.1965046,0.21330895
PTF12KSO,8.932007,26.459415,4.6521816,0.15630527
SN1987A,53.83963,30.394333,50.647083,0.85253537
SN1998A,25.645155,27.91783,9.469276,0.18204707
SN2000CB,0.8050047,20.33693,3.3802786,0.14273685
SN2004EK,19.78188,23.187462,5.253816,0.19160967
SN2004EM,1.538476,28.982405,3.6647463,0.21234019
SN2005CI,0.49583,19.105865,1.9459789,0.10482455
SN2006AU,7.508175,21.92339,5.961496,0.08053651
SN2006V,3.75907,25.892899,4.346981,0.13803154
SN2009E,12.079843,14.317505,0.66522944,0.042206664
SN2009MW,1.5418646,22.820057,2.5542328,0.11952403
SN2018CUB,18.977488,19.1762,3.6164317,0.116219364
SN2018EGO,48.10566,24.092949,56.209938,0.10840454
SN2018HNA,10.1629505,14.513722,0.7717328,0.037792135
SN2018IMJ,2.7794938,25.841122,3.5814419,0.12444663
SN2018LRQ,0.3989932,22.6635,2.366583,0.09037015
SN2019BSW,0.99597144,27.42313,3.2324185,0.20312946
SN2020ABAH,13.6907,22.094887,1.5160322,0.088273674
SN2020OEM,2.5322287,25.577394,2.9858973,0.17125982
SN2021AATD,3.33567,27.575447,3.9823165,0.114138104
SN2021MJU,3.4479775,17.256706,4.3364196,0.08948192
SN2021SKM,0.9654162,22.736431,2.7583537,0.15945357
SN2021WUN,1.1216476,19.53974,2.3762677,0.10020137
SN2021ZJ,15.336473,29.033745,6.957678,0.2260226
